12:03:59.731 -> Configuration ID: 0x1, Value: 0.00
12:03:59.837 -> Configuration ID: 0x2, Value: 4.00
12:03:59.941 -> Configuration ID: 0x3, Value: 0.12
12:04:00.046 -> Configuration ID: 0x4, Value: 0.00
12:04:00.163 -> Configuration ID: 0x5, Value: 10.00
12:04:00.249 -> Configuration ID: 0x6, Value: nan
12:04:00.366 -> Configuration ID: 0x7, Value: nan
12:04:00.442 -> Configuration ID: 0x8, Value: nan
12:04:00.547 -> Configuration ID: 0x9, Value: nan
12:04:00.678 -> Configuration ID: 0xA, Value: nan
12:04:00.754 -> Configuration ID: 0xB, Value: nan
12:04:00.858 -> Configuration ID: 0xC, Value: nan
12:04:00.969 -> Configuration ID: 0xD, Value: nan
12:04:01.048 -> Configuration ID: 0xE, Value: nan
12:04:01.173 -> Configuration ID: 0xF, Value: nan
12:04:01.267 -> Configuration ID: 0x10, Value: nan
12:04:01.344 -> Configuration ID: 0x11, Value: nan
12:04:01.455 -> Configuration ID: 0x12, Value: nan
12:04:01.559 -> Configuration ID: 0x13, Value: nan
12:04:01.637 -> Configuration ID: 0x14, Value: nan
12:04:01.747 -> Configuration ID: 0x15, Value: nan
12:04:01.849 -> Configuration ID: 0x16, Value: nan
12:04:01.951 -> Configuration ID: 0x17, Value: nan
12:04:02.063 -> Configuration ID: 0x18, Value: nan
12:04:02.138 -> Configuration ID: 0x19, Value: nan
12:04:02.238 -> Configuration ID: 0x1A, Value: nan
12:04:02.344 -> Configuration ID: 0x1B, Value: nan
12:04:02.449 -> Configuration ID: 0x1C, Value: nan
12:04:02.559 -> Configuration ID: 0x0, Value: 0.23
12:04:02.662 -> Configuration ID: 0x1, Value: 0.00
12:04:02.764 -> Configuration ID: 0x2, Value: 4.00
12:04:02.872 -> Configuration ID: 0x3, Value: 0.12
12:04:02.941 -> Configuration ID: 0x4, Value: 0.00
12:04:03.052 -> Configuration ID: 0x5, Value: 10.00
